"city","country","tier","popularityScore","recommendedStayDays","airportCount","outgoingConnections"
"Cagayan de Oro City","Philippines","standard","40","2","1","6"
"Cebu","Philippines","standard","42","2","1","36"
"Davao","Philippines","standard","41","2","1","12"
"Iloilo","Philippines","standard","41","2","1","10"
"Kalibo","Philippines","standard","41","2","1","18"
"Laoag","Philippines","standard","40","2","1","2"
"Manila","Philippines","standard","49","2","1","140"
"Olongapo City","Philippines","standard","40","2","1","0"
"Puerto Princesa","Philippines","standard","41","2","1","9"
"Romblon","Philippines","standard","40","2","1","5"
"Zamboanga","Philippines","standard","40","2","1","5"
"Gdansk","Poland","standard","42","2","1","31"
"Katowice","Poland","standard","41","2","1","19"
"Krakow","Poland","standard","43","2","1","42"
"Warsaw","Poland","standard","47","2","1","106"
"Wroclaw","Poland","standard","41","2","1","22"
"Faro","Portugal","standard","45","2","1","70"
"Funchal","Portugal","standard","43","2","1","41"
"Lisbon","Portugal","standard","52","2","1","183"
"Porto","Portugal","standard","45","2","1","76"
"San Juan","Puerto Rico","standard","46","2","1","83"
"Doha","Qatar","standard","52","2","2","184"
"St.-denis","Reunion","standard","41","2","1","15"
"Arad","Romania","standard","40","2","1","1"
"Bucharest","Romania","standard","46","2","2","94"
"Cluj-napoca","Romania","standard","41","2","1","16"
"Constanta","Romania","standard","40","2","1","1"
"Oradea","Romania","standard","40","2","1","2"
"Sibiu","Romania","standard","40","2","1","5"
"Tirgu Mures","Romania","standard","40","2","1","2"
"Belgorod","Russia","standard","41","2","1","10"
"Kazan","Russia","standard","41","2","1","19"
"Kogalym","Russia","standard","40","2","1","1"
"Krasnodar","Russia","standard","43","2","1","38"
"Krasnoyarsk","Russia","standard","41","2","1","22"
"Magnetiogorsk","Russia","standard","40","2","1","2"
"Mineralnye Vody","Russia","standard","41","2","1","18"
"Moscow","Russia","tourist","67","2","4","406"
"Nizhniy Novgorod","Russia","standard","41","2","1","14"
"Novosibirsk","Russia","standard","43","2","1","47"
"Ramenskoe","Russia","standard","40","2","1","0"
"Rostov","Russia","standard","42","2","1","26"
"Sabetta","Russia","standard","40","2","1","0"
"Samara","Russia","standard","41","2","1","22"
"Sochi","Russia","standard","41","2","1","22"
"St. Petersburg","Russia","standard","48","2","1","122"
"Ufa","Russia","standard","41","2","1","14"
"Vladivostok","Russia","standard","41","2","1","16"
"Volgograd","Russia","standard","41","2","1","8"
"Voronezh","Russia","standard","41","2","1","8"
"Yekaterinburg","Russia","standard","44","2","1","66"
"Kigali","Rwanda","standard","43","2","1","39"
"Wide Awake","Saint Helena","standard","40","2","1","0"
"Basse Terre","Saint Kitts and Nevis","standard","41","2","1","11"
"Charlestown","Saint Kitts and Nevis","standard","41","2","1","8"
"Hewandorra","Saint Lucia","standard","41","2","1","19"
"Miquelon","Saint Pierre and Miquelon","standard","40","2","1","0"
"Kingstown","Saint Vincent and the Grenadines","standard","40","2","1","3"
"Union Island","Saint Vincent and the Grenadines","standard","40","2","1","0"
"Faleolo","Samoa","standard","40","2","1","5"
"Sao Tome","Sao Tome and Principe","standard","40","2","1","2"
"Dammam","Saudi Arabia","standard","45","2","1","71"
"Jeddah","Saudi Arabia","standard","51","2","1","165"
"Madinah","Saudi Arabia","standard","42","2","1","33"
"Riyadh","Saudi Arabia","standard","47","2","1","112"
"Dakar","Senegal","standard","44","2","1","64"
"Diass","Senegal","standard","40","2","1","0"
"Belgrade","Serbia","standard","45","2","1","73"
"Pristina","Serbia","standard","41","2","1","19"
"Mahe","Seychelles","standard","41","2","1","12"
"Freetown","Sierra Leone","standard","41","2","1","21"
"Singapore","Singapore","tourist","66","2","1","386"
"Bratislava","Slovakia","standard","41","2","1","13"
"Ljubljana","Slovenia","standard","42","2","1","32"
"Honiara","Solomon Islands","standard","41","2","1","8"
"Hargeisa","Somalia","standard","40","2","1","4"
"Mogadishu","Somalia","standard","40","2","1","5"
"Bloemfontein","South Africa","standard","40","2","1","4"
"Cape Town","South Africa","standard","42","2","1","36"
"Durban","South Africa","standard","41","2","1","19"
"George","South Africa","standard","40","2","1","5"
"Johannesburg","South Africa","standard","49","2","2","133"
"Mafeking","South Africa","standard","40","2","1","0"
"Pilanesberg","South Africa","standard","40","2","1","0"
"Port Elizabeth","South Africa","standard","41","2","1","8"
"Potgietersrus","South Africa","standard","40","2","1","1"
"Busan","South Korea","standard","45","2","1","79"
"Cheju","South Korea","standard","43","2","1","44"
"Muan","South Korea","standard","40","2","1","6"
"Seoul","South Korea","tourist","64","2","2","358"
"Sokcho / Gangneung","South Korea","standard","40","2","1","1"
"Taegu","South Korea","standard","40","2","1","6"
"Juba","South Sudan","standard","41","2","1","12"
"Alicante","Spain","standard","47","2","1","104"
"Arrecife","Spain","standard","45","2","1","76"
"Barcelona","Spain","tourist","60","2","1","306"
"Bilbao","Spain","standard","44","2","1","58"
