id,ident,name,lat,lon,country,municipality
139,YSY,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,71.9938964844,-125.242996216,Canada,Sachs Harbour
140,YTE,Cape Dorset Airport,64.2300033569,-76.5267028809,Canada,Cape Dorset
141,YTH,Thompson Airport,55.80110168457031,-97.86419677734375,Canada,Thompson
142,YTR,CFB Trenton,44.118900299072266,-77.5280990600586,Canada,Trenton
143,YTS,Timmins/Victor M. Power,48.569698333699996,-81.376701355,Canada,Timmins
144,YTZ,Billy Bishop Toronto City Centre Airport,43.627499,-79.396202,Canada,Toronto
145,YUB,Tuktoyaktuk Airport,69.43329620361328,-133.0260009765625,Canada,Tuktoyaktuk
146,YUL,Montreal / Pierre Elliott Trudeau International Airport,45.4706001282,-73.7407989502,Canada,Montreal
147,YUT,Repulse Bay Airport,66.5214004517,-86.22470092770001,Canada,Repulse Bay
148,YUX,Hall Beach Airport,68.77610015869999,-81.2425,Canada,Hall Beach
149,YUY,Rouyn Noranda Airport,48.20610046386719,-78.83560180664062,Canada,Rouyn
150,YVC,La Ronge Airport,55.151401519800004,-105.262001038,Canada,La Ronge
151,YVG,Vermilion Airport,53.355800628699996,-110.823997498,Canada,Vermillion
152,YVM,Qikiqtarjuaq Airport,67.5457992554,-64.03140258789999,Canada,Broughton Island
153,YVO,Val-d'Or Airport,48.0532989502,-77.7827987671,Canada,Val D'or
154,YVP,Kuujjuaq Airport,58.096099853515625,-68.4269027709961,Canada,Quujjuaq
155,YVQ,Norman Wells Airport,65.28160095214844,-126.7979965209961,Canada,Norman Wells
156,YVR,Vancouver International Airport,49.193901062,-123.183998108,Canada,Vancouver
157,YVT,Buffalo Narrows Airport,55.8418998718,-108.417999268,Canada,Buffalo Narrows
158,YVV,Wiarton Airport,44.7458,-81.107201,Canada,Wiarton
159,YWA,Petawawa Airport,45.95220184326172,-77.31919860839844,Canada,Petawawa
160,YWG,Winnipeg / James Armstrong Richardson International Airport,49.909999847399995,-97.2398986816,Canada,Winnipeg
161,YWK,Wabush Airport,52.92190170288086,-66.8644027709961,Canada,Wabush
162,YWL,Williams Lake Airport,52.1831016541,-122.054000854,Canada,Williams Lake
163,YWY,Wrigley Airport,63.20940017700195,-123.43699645996094,Canada,Wrigley
164,YXC,Cranbrook/Canadian Rockies International Airport,49.610801696777,-115.78199768066,Canada,Cranbrook
165,YXD,Edmonton City Centre (Blatchford Field) Airport,53.5724983215,-113.521003723,Canada,Edmonton
166,YXE,Saskatoon John G. Diefenbaker International Airport,52.170799255371094,-106.69999694824219,Canada,Saskatoon
167,YXH,Medicine Hat Airport,50.01890182495117,-110.72100067138672,Canada,Medicine Hat
168,YXJ,Fort St John Airport,56.23809814453125,-120.73999786376953,Canada,Fort Saint John
169,YXL,Sioux Lookout Airport,50.11389923095703,-91.9052963256836,Canada,Sioux Lookout
170,YXP,Pangnirtung Airport,66.1449966431,-65.71360015869999,Canada,Pangnirtung
171,YXR,Earlton (Timiskaming Regional) Airport,47.697400654599996,-79.8473453522,Canada,Earlton
172,YXS,Prince George Airport,53.8894004822,-122.679000854,Canada,Prince George
173,YXT,Northwest Regional Airport Terrace-Kitimat,54.468498,-128.576009,Canada,Terrace
174,YXU,London Airport,43.035599,-81.1539,Canada,London
175,YXX,Abbotsford Airport,49.025299072265625,-122.36100006103516,Canada,Abbotsford
176,YXY,Whitehorse / Erik Nielsen International Airport,60.7095985413,-135.067001343,Canada,Whitehorse
177,YYB,North Bay Jack Garland Airport,46.363602,-79.422798,Canada,North Bay
178,YYC,Calgary International Airport,51.113899231,-114.019996643,Canada,Calgary
179,YYD,Smithers Airport,54.82469940185547,-127.18299865722656,Canada,Smithers
180,YYE,Fort Nelson Airport,58.8363990784,-122.597000122,Canada,Fort Nelson
181,YYF,Penticton Airport,49.46310043334961,-119.60199737548828,Canada,Penticton
182,YYG,Charlottetown Airport,46.290000915527344,-63.12110137939453,Canada,Charlottetown
183,YYH,Taloyoak Airport,69.5466995239,-93.5766983032,Canada,Spence Bay
184,YYJ,Victoria International Airport,48.646900177,-123.426002502,Canada,Victoria
185,YYL,Lynn Lake Airport,56.86389923095703,-101.07599639892578,Canada,Lynn Lake
186,YYN,Swift Current Airport,50.291900634799994,-107.691001892,Canada,Swift Current
187,YYQ,Churchill Airport,58.739200592041016,-94.06500244140625,Canada,Churchill
188,YYR,Goose Bay Airport,53.3191986084,-60.4258003235,Canada,Goose Bay
189,YYT,St. John's International Airport,47.618598938,-52.7518997192,Canada,St. John's
190,YYU,Kapuskasing Airport,49.41389846801758,-82.46749877929688,Canada,Kapuskasing
191,YYW,Armstrong Airport,50.29029846191406,-88.90969848632812,Canada,Armstrong
192,YYY,Mont Joli Airport,48.60860061645508,-68.20809936523438,Canada,Mont Joli
193,YYZ,Lester B. Pearson International Airport,43.6772003174,-79.63059997559999,Canada,Toronto
194,YZD,Downsview Airport,43.74250030517578,-79.4655990600586,Canada,Toronto
195,YZE,Gore Bay Manitoulin Airport,45.88529968261719,-82.56780242919922,Canada,Gore Bay
196,YZF,Yellowknife Airport,62.462799072265625,-114.44000244140625,Canada,Yellowknife
197,YZH,Slave Lake Airport,55.2930984497,-114.777000427,Canada,Slave Lake
198,YZP,Sandspit Airport,53.25429916379999,-131.813995361,Canada,Sandspit
199,YZR,Chris Hadfield Airport,42.9994010925293,-82.30889892578125,Canada,Sarnia
200,YZT,Port Hardy Airport,50.680599212646484,-127.36699676513672,Canada,Port Hardy
201,YZU,Whitecourt Airport,54.14390182495117,-115.78700256347656,Canada,Whitecourt
202,YZV,Sept-Îles Airport,50.22330093383789,-66.2656021118164,Canada,Sept-iles
203,YZW,Teslin Airport,60.17279815673828,-132.7429962158203,Canada,Teslin
204,YZX,CFB Greenwood,44.98440170288086,-64.91690063476562,Canada,Greenwood
205,ZFA,Faro Airport,62.20750045776367,-133.37600708007812,Canada,Faro
206,ZFM,Fort Mcpherson Airport,67.40750122070312,-134.86099243164062,Canada,Fort Mcpherson
207,QLD,Blida Airport,36.50360107421875,2.8141698837280273,Algeria,Blida
208,BUJ,Bou Saada Airport,35.33250045776367,4.206389904022217,Algeria,Bou Saada
209,BJA,Soummam Airport,36.7120018005,5.0699200630200005,Algeria,Bejaja
210,ALG,Houari Boumediene Airport,36.691001892089844,3.215409994125366,Algeria,Algier
211,DJG,Djanet Inedbirene Airport,24.292801,9.45244,Algeria,Djanet
212,\N,Boufarik Airport,36.545799,2.87611,Algeria,Boufarik
213,\N,Reggane Airport,26.7101,0.285647,Algeria,Reggan
214,VVZ,Illizi Takhamalt Airport,26.7234992981,8.62265014648,Algeria,Illizi
215,\N,Ain Oussera Airport,35.52539825439453,2.8787100315093994,Algeria,Ain Oussera
216,TMR,Aguenar – Hadj Bey Akhamok Airport,22.8115005493,5.45107984543,Algeria,Tamanrasset
217,GJL,Jijel Ferhat Abbas Airport,36.7951011658,5.87361001968,Algeria,Jijel
218,MZW,Mecheria Airport,33.535900116,-0.242353007197,Algeria,Mecheria
219,\N,Relizane Airport,35.752201,0.626272,Algeria,Relizane
220,AAE,Rabah Bitat Airport,36.822201,7.809174,Algeria,Annaba
